task_id,n_correct,n_wrong,p_correct_mbpp,p_wrong_mbpp,delta_mbpp,p_correct_plus,p_wrong_plus,delta_plus,bucket
26,1,3,1.0000,0.0000,1.0000,,,,high
33,1,4,1.0000,0.0000,1.0000,,,,high
39,1,6,0.0000,0.0000,0.0000,,,,<=0
54,1,3,1.0000,1.0000,0.0000,,,,<=0
63,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
64,1,5,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
99,1,5,1.0000,1.0000,0.0000,1.0000,0.5234,0.4766,<=0
104,1,5,1.0000,0.4000,0.6000,1.0000,1.0000,0.0000,medium
132,1,3,1.0000,0.3333,0.6667,1.0000,0.3333,0.6667,medium
144,1,5,0.0000,0.0000,0.0000,,,,<=0
152,1,2,1.0000,1.0000,0.0000,,,,<=0
170,1,4,1.0000,0.7500,0.2500,1.0000,0.8114,0.1886,low
173,1,4,1.0000,1.0000,0.0000,,,,<=0
183,1,3,0.0000,0.0000,0.0000,,,,<=0
194,1,2,1.0000,0.0000,1.0000,,,,high
242,1,2,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
245,1,10,1.0000,0.0000,1.0000,0.0000,1.0000,-1.0000,high
250,1,7,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
256,1,4,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
289,1,4,0.0000,0.0000,0.0000,,,,<=0
295,1,3,0.0000,0.0000,0.0000,,,,<=0
309,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
329,1,1,1.0000,1.0000,0.0000,,,,<=0
340,1,7,1.0000,1.0000,0.0000,,,,<=0
376,1,3,1.0000,0.0000,1.0000,,,,high
403,1,5,1.0000,1.0000,0.0000,,,,<=0
439,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
446,1,7,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,high
461,1,5,0.0000,0.0000,0.0000,,,,<=0
464,1,5,0.0000,0.0000,0.0000,,,,<=0
480,1,2,1.0000,1.0000,0.0000,,,,<=0
493,1,13,0.0000,0.0000,0.0000,,,,<=0
506,1,6,1.0000,1.0000,0.0000,,,,<=0
507,1,3,1.0000,1.0000,0.0000,,,,<=0
512,1,1,1.0000,0.0000,1.0000,,,,high
516,2,1,1.0000,1.0000,0.0000,,,,<=0
519,1,3,1.0000,0.0000,1.0000,,,,high
524,1,4,1.0000,0.0000,1.0000,,,,high
532,1,3,1.0000,1.0000,0.0000,,,,<=0
533,1,5,0.0000,0.0000,0.0000,,,,<=0
590,1,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,<=0
592,1,4,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,high
599,1,8,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
611,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
624,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
634,1,2,1.0000,1.0000,0.0000,,,,<=0
639,1,2,1.0000,1.0000,0.0000,0.6667,0.0439,0.6228,<=0
640,1,3,0.0000,0.0000,0.0000,,,,<=0
642,1,3,1.0000,0.0000,1.0000,,,,high
649,1,11,1.0000,0.7273,0.2727,,,,low
666,1,2,1.0000,1.0000,0.0000,,,,<=0
672,1,3,1.0000,1.0000,0.0000,,,,<=0
673,1,2,1.0000,1.0000,0.0000,,,,<=0
705,1,3,1.0000,1.0000,0.0000,,,,<=0
708,1,2,1.0000,0.0000,1.0000,,,,high
709,1,4,0.0000,0.0000,0.0000,,,,<=0
712,1,2,0.0000,0.0000,0.0000,,,,<=0
717,1,6,1.0000,1.0000,0.0000,,,,<=0
751,1,12,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,<=0
758,1,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,<=0
767,1,7,1.0000,0.1429,0.8571,0.0000,0.0000,0.0000,high
774,1,1,1.0000,0.0000,1.0000,,,,high
785,1,4,1.0000,0.5000,0.5000,0.9339,0.4132,0.5207,medium
791,1,6,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,<=0
819,2,4,0.5000,0.0000,0.5000,,,,medium
823,1,3,0.0000,0.0000,0.0000,,,,<=0
827,1,4,1.0000,1.0000,0.0000,,,,<=0
831,1,2,0.0000,0.0000,0.0000,,,,<=0
839,1,5,1.0000,1.0000,0.0000,,,,<=0
849,1,3,1.0000,1.0000,0.0000,,,,<=0
851,1,5,0.0000,0.0000,0.0000,,,,<=0
872,1,10,1.0000,0.0000,1.0000,,,,high
939,1,4,1.0000,0.0000,1.0000,,,,high
941,1,4,1.0000,1.0000,0.0000,,,,<=0
945,1,6,1.0000,1.0000,0.0000,,,,<=0
963,1,9,1.0000,0.0000,1.0000,,,,high
965,1,3,1.0000,1.0000,0.0000,,,,<=0
968,1,5,1.0000,0.0000,1.0000,,,,high
